unit_id,unit_percentage_owner,unit_percentage_bv
UN1094,85.0,15.0
UN0000,85.0,15.0
UN0946,85.0,15.0
UN0000,85.0,15.0
UN0000,85.0,15.0
UN0000,85.0,15.0
UN0000,85.0,15.0
UN1405,85.0,15.0
UN1364,85.0,15.0
UN0000,85.0,15.0
UN0000,85.0,15.0
UN1408,85.0,15.0
UN1406,85.0,15.0
UN1404,85.0,15.0
UN1042,85.0,15.0
UN0000,85.0,15.0
UN0000,85.0,15.0
UN0000,85.0,15.0
UN0000,85.0,15.0
UN0000,85.0,15.0
UN1413,85.0,15.0
UN1413,85.0,15.0
UN0000,85.0,15.0
UN1411,85.0,15.0
UN0641,85.0,15.0
UN1417,85.0,15.0
UN0000,85.0,15.0
UN0000,85.0,15.0
UN0000,85.0,15.0
UN0000,85.0,15.0
UN0000,85.0,15.0
UN1371,85.0,15.0
UN0000,85.0,15.0
UN0000,85.0,15.0
UN0763,85.0,15.0
UN0762,85.0,15.0
UN0761,85.0,15.0
UN0000,85.0,15.0
UN0000,85.0,15.0
UN0000,85.0,15.0
UN1448,85.0,15.0
UN1396,85.0,15.0
UN1403,85.0,15.0
UN0827,85.0,15.0
UN0000,85.0,15.0
UN1417,85.0,15.0
UN1395,85.0,15.0
UN0899,85.0,15.0
UN0000,85.0,15.0
UN1394,85.0,15.0
UN0000,85.0,15.0
UN1394,85.0,15.0
UN0000,85.0,15.0
UN0000,85.0,15.0
UN1437,85.0,15.0
UN1393,0.0,0.0
UN0000,85.0,15.0
UN0000,85.0,15.0
UN0679,85.0,15.0
UN0819,85.0,15.0
UN0801,85.0,15.0
UN0980,85.0,15.0
UN0985,85.0,15.0
UN0985,85.0,15.0
UN0984,85.0,15.0
UN0979,85.0,15.0
UN0981,85.0,15.0
UN0982,85.0,15.0
UN0885,85.0,15.0
UN0883,85.0,15.0
UN0882,85.0,15.0
UN1362,85.0,15.0
UN1371,85.0,15.0
UN1384,85.0,15.0
UN1264,85.0,15.0
UN1361,85.0,15.0
UN0882,85.0,15.0
UN1360,85.0,15.0
UN0803,85.0,15.0
UN1383,85.0,15.0
UN1129,85.0,15.0
UN1128,85.0,15.0
UN1127,85.0,15.0
UN0132,85.0,15.0
UN0131,85.0,15.0
UN1050,85.0,15.0
UN1044,85.0,15.0
UN1391,85.0,15.0
UN1370,85.0,0.0
UN0803,85.0,15.0
UN0802,85.0,15.0
UN0802,85.0,15.0
UN1375,85.0,15.0
UN1376,85.0,15.0
UN0364,85.0,15.0
UN1382,85.0,15.0
UN1377,85.0,15.0
UN1378,85.0,15.0
UN0675,85.0,15.0
UN0000,85.0,15.0
UN0000,85.0,15.0
UN1374,85.0,15.0
UN0234,85.0,15.0
UN1372,85.0,15.0
UN1363,85.0,15.0
UN0813,85.0,15.0
UN0812,85.0,15.0
UN0676,85.0,15.0
UN1281,85.0,15.0
UN0677,85.0,15.0
UN0675,85.0,15.0
UN0235,85.0,15.0
UN0686,85.0,15.0
UN0683,85.0,15.0
UN0000,85.0,15.0
UN1123,85.0,15.0
UN1126,85.0,15.0
UN1121,85.0,15.0
UN0311,85.0,15.0
UN1370,85.0,15.0
UN0760,85.0,15.0
UN0759,85.0,15.0
UN0235,85.0,15.0
UN0231,85.0,15.0
UN0909,85.0,15.0
UN0907,85.0,15.0
UN1367,85.0,15.0
UN0627,85.0,15.0
UN0687,85.0,15.0
UN0826,85.0,15.0
UN0617,85.0,15.0
UN0323,85.0,15.0
UN0321,85.0,15.0
UN0826,85.0,15.0
UN0821,85.0,15.0
UN0233,85.0,15.0
UN0756,85.0,15.0
UN0755,85.0,15.0
UN0184,85.0,15.0
UN0183,85.0,15.0
UN0182,85.0,15.0
UN0651,85.0,15.0
UN0331,85.0,15.0
UN0320,85.0,15.0
UN1359,85.0,15.0
UN1320,85.0,15.0
UN1318,85.0,15.0
UN1317,85.0,15.0
UN0000,85.0,15.0
UN0822,85.0,15.0
UN0881,85.0,15.0
UN0000,85.0,15.0
UN0820,85.0,15.0
UN0235,85.0,15.0
UN0231,85.0,15.0
UN1358,85.0,15.0
UN1358,85.0,15.0
UN1317,85.0,15.0
UN1315,85.0,15.0
UN1314,85.0,15.0
UN1314,85.0,15.0
UN1316,85.0,15.0
UN1315,85.0,15.0
UN1357,85.0,15.0
UN1355,85.0,15.0
UN0000,85.0,15.0
UN1356,85.0,15.0
UN1345,85.0,15.0
UN1352,85.0,15.0
UN1350,85.0,15.0
UN1349,85.0,15.0
UN1348,85.0,0.0
UN0211,85.0,0.0
UN0000,85.0,15.0
UN0000,85.0,15.0
UN0000,85.0,15.0
UN0785,85.0,15.0
UN0785,85.0,15.0
UN0903,0.0,15.0
UN1347,85.0,15.0
UN1026,85.0,15.0
UN1343,85.0,15.0
UN1033,85.0,15.0
UN1344,85.0,15.0
UN1141,85.0,15.0
UN0445,85.0,15.0
UN1155,85.0,15.0
UN1140,85.0,15.0
UN1091,85.0,15.0
UN1142,85.0,15.0
UN0000,85.0,15.0
UN0136,85.0,15.0
UN0138,85.0,15.0
UN1259,85.0,15.0
UN0218,85.0,15.0
UN0902,85.0,15.0
UN0901,85.0,15.0
UN0760,85.0,15.0
UN0000,85.0,15.0
UN0000,85.0,15.0
UN0000,85.0,15.0
UN0000,85.0,15.0
UN0000,85.0,15.0
UN0000,85.0,15.0
UN0000,85.0,15.0
UN0000,85.0,15.0
UN0641,85.0,15.0
UN0900,85.0,15.0
UN0331,85.0,15.0
UN0311,85.0,15.0
UN1023,85.0,15.0
UN0818,85.0,15.0
UN0817,85.0,15.0
UN0318,85.0,15.0
UN1216,85.0,15.0
UN1215,85.0,15.0
UN1214,85.0,15.0
UN0153,85.0,15.0
UN0328,85.0,15.0
UN1260,85.0,15.0
UN1124,85.0,15.0
UN1028,85.0,15.0
UN1025,85.0,15.0
UN0000,85.0,15.0
UN1082,85.0,15.0
UN0000,85.0,15.0
UN0000,85.0,15.0
UN0000,85.0,15.0
UN0000,85.0,15.0
UN0000,85.0,15.0
UN0640,85.0,15.0
UN1338,85.0,15.0
UN1337,85.0,15.0
UN0827,85.0,15.0
UN0708,85.0,15.0
UN0914,85.0,15.0
UN0913,85.0,15.0
UN0000,85.0,15.0
UN0759,85.0,15.0
UN0829,85.0,15.0
UN0898,85.0,15.0
UN1229,85.0,15.0
UN0000,85.0,15.0
UN0000,85.0,15.0
UN1336,85.0,15.0
UN1335,85.0,15.0
UN0000,85.0,15.0
UN0828,85.0,15.0
UN0754,85.0,15.0
UN0707,85.0,15.0
UN1122,85.0,15.0
UN0233,85.0,15.0
UN0484,85.0,15.0
UN1120,85.0,15.0
UN0193,85.0,15.0
UN0670,85.0,15.0
UN0828,85.0,15.0
UN0675,85.0,15.0
UN1202,85.0,15.0
UN0116,85.0,15.0
UN1178,85.0,15.0
UN0799,85.0,15.0
UN0628,85.0,15.0
UN0990,85.0,15.0
UN0127,85.0,15.0
UN0351,85.0,15.0
UN1161,85.0,15.0
UN0680,85.0,15.0
UN0678,85.0,15.0
UN0676,85.0,15.0
UN0675,85.0,15.0
UN1119,85.0,15.0
UN0645,85.0,15.0
UN0571,85.0,15.0
UN1048,85.0,15.0
UN1224,85.0,15.0
UN0216,85.0,15.0
UN1118,85.0,15.0
UN0615,85.0,15.0
UN1049,85.0,15.0
UN0629,85.0,15.0
UN0416,85.0,15.0
UN1173,85.0,15.0
UN1173,85.0,15.0
UN0409,85.0,15.0
UN0995,0.0,0.0
UN0000,85.0,15.0
UN1172,85.0,15.0
UN0000,85.0,15.0
UN0117,85.0,15.0
UN0212,85.0,15.0
UN0000,0.0,0.0
UN0131,85.0,15.0
UN0132,85.0,15.0
UN0166,80.0,20.0
UN0261,85.0,15.0
UN0796,85.0,15.0
UN0436,85.0,15.0
UN0798,85.0,15.0
UN0073,85.0,15.0
UN0935,85.0,15.0
UN0441,85.0,15.0
UN0445,85.0,15.0
UN0452,85.0,15.0
UN0453,85.0,15.0
UN0453,85.0,15.0
UN0139,85.0,15.0
UN0504,85.0,15.0
UN0504,85.0,15.0
UN1020,85.0,15.0
UN1043,85.0,15.0
UN0507,85.0,15.0
UN0513,85.0,15.0
UN0523,85.0,15.0
UN0524,85.0,15.0
UN0531,85.0,15.0
UN0534,85.0,15.0
UN0540,85.0,15.0
UN0550,85.0,15.0
UN0553,85.0,15.0
UN0565,85.0,15.0
UN0987,85.0,15.0
UN0988,85.0,15.0
UN1218,85.0,15.0
UN1284,85.0,15.0
UN1287,85.0,15.0
UN0593,85.0,15.0
UN0671,80.0,20.0
UN1144,85.0,15.0
UN1186,85.0,15.0
UN1231,85.0,15.0
UN1291,85.0,15.0
UN0936,90.0,15.0
UN1291,85.0,15.0
UN0319,85.0,15.0
UN0000,85.0,15.0
UN0000,85.0,15.0
UN1115,85.0,15.0
UN1115,85.0,15.0
UN1115,85.0,15.0
UN1116,85.0,15.0
UN1116,85.0,15.0
UN0000,85.0,15.0
UN1120,85.0,15.0
UN0000,85.0,15.0
UN1093,85.0,15.0
UN0154,85.0,15.0
UN0366,85.0,15.0
UN0367,85.0,15.0
UN0368,85.0,15.0
UN0369,85.0,15.0
UN0370,85.0,15.0
UN0371,85.0,15.0
UN0372,85.0,15.0
UN0373,85.0,15.0
UN0374,85.0,15.0
UN0000,0.0,0.0
UN1206,85.0,15.0
UN1275,85.0,15.0
UN1296,85.0,15.0
UN1321,85.0,15.0
UN0232,85.0,15.0
UN0880,85.0,15.0
UN0928,85.0,15.0
UN0607,85.0,15.0
UN0484,85.0,15.0
UN0998,85.0,15.0
UN0000,85.0,15.0
UN0670,85.0,15.0
UN1162,85.0,15.0
UN1164,85.0,15.0
UN0606,85.0,15.0
UN0131,85.0,15.0
UN0999,85.0,15.0
UN1157,85.0,15.0
UN1160,85.0,15.0
UN0180,85.0,15.0
UN0624,85.0,15.0
UN0932,85.0,15.0
UN1158,85.0,15.0
UN1159,85.0,15.0
UN0630,85.0,15.0
UN0614,85.0,15.0
UN0000,85.0,15.0
UN0608,85.0,15.0
UN0616,85.0,15.0
UN0918,85.0,15.0
UN0931,85.0,15.0
UN0920,85.0,15.0
UN0133,85.0,15.0
UN0677,85.0,15.0
UN0126,85.0,15.0
UN0000,85.0,15.0
UN1307,85.0,15.0
UN1301,85.0,15.0
UN0000,85.0,15.0
UN0637,85.0,15.0
UN1306,85.0,15.0
UN0637,85.0,15.0
UN0000,85.0,15.0
UN0658,85.0,15.0
UN0651,85.0,15.0
UN0000,85.0,15.0
UN0000,85.0,15.0
UN0000,85.0,15.0
UN0997,85.0,15.0
UN0000,85.0,15.0
UN0000,85.0,15.0
UN0000,85.0,15.0
UN0000,85.0,15.0
UN1166,85.0,15.0
UN0812,85.0,15.0
UN0787,85.0,15.0
UN0000,85.0,15.0
UN0125,85.0,15.0
UN0730,85.0,15.0
UN0800,85.0,15.0
UN0786,85.0,15.0
UN0654,85.0,15.0
UN0653,85.0,15.0
UN0652,85.0,15.0
UN0651,85.0,15.0
UN0000,85.0,15.0
UN0000,85.0,15.0
UN0000,85.0,15.0
UN0000,85.0,15.0
UN0000,85.0,15.0
UN0684,85.0,15.0
UN0657,85.0,15.0
UN0908,85.0,15.0
UN0974,85.0,15.0
UN1035,85.0,15.0
UN0977,85.0,15.0
UN0910,85.0,15.0
UN0909,85.0,15.0
UN0907,85.0,15.0
UN0687,85.0,15.0
UN0683,85.0,15.0
UN0000,85.0,15.0
UN0286,85.0,15.0
UN0899,85.0,15.0
UN0638,85.0,15.0
UN0000,85.0,15.0
UN0978,85.0,15.0
UN0978,85.0,15.0
UN0000,85.0,15.0
UN0598,85.0,15.0
UN0598,85.0,15.0
UN0597,85.0,15.0
UN0915,85.0,15.0
UN0916,85.0,15.0
UN0389,85.0,15.0
UN0917,85.0,15.0
UN0000,85.0,15.0
UN0000,85.0,15.0
UN0000,85.0,15.0
UN0000,85.0,15.0
UN0000,85.0,15.0
UN0000,85.0,15.0
UN0000,85.0,15.0
UN0996,85.0,15.0
UN0000,85.0,15.0
UN0000,85.0,15.0
UN0000,85.0,15.0
UN0000,85.0,15.0
UN0000,85.0,15.0
UN0000,85.0,15.0
UN0000,85.0,15.0
UN0000,85.0,15.0
UN1042,85.0,15.0
UN1202,85.0,15.0
UN0122,85.0,15.0
UN0100,85.0,15.0
UN0000,85.0,15.0
UN1334,85.0,15.0
UN1294,85.0,15.0
UN1230,85.0,15.0
UN0179,85.0,15.0
UN0122,85.0,15.0
UN1632,85.0,15.0
UN1151,85.0,15.0
UN0770,85.0,15.0
UN0771,85.0,15.0
UN0000,85.0,15.0
UN0248,85.0,15.0
UN0249,85.0,15.0
UN0251,85.0,15.0
UN1053,85.0,15.0
UN0067,85.0,15.0
UN0068,85.0,15.0
UN0478,85.0,15.0
UN0480,85.0,15.0
UN1292,85.0,15.0
UN1176,85.0,15.0
UN0478,85.0,15.0
UN0814,85.0,15.0
UN0815,85.0,15.0
UN1042,85.0,15.0
UN1042,85.0,15.0
UN0478,85.0,15.0
UN1295,85.0,15.0
UN1296,85.0,15.0
UN0000,85.0,15.0
UN0481,85.0,15.0
UN0479,85.0,15.0
UN0477,85.0,15.0
UN0794,85.0,15.0
UN0000,85.0,15.0
UN0066,85.0,15.0
UN1291,85.0,15.0
UN1293,85.0,15.0
UN0069,85.0,15.0
UN1068,85.0,15.0
UN1153,85.0,15.0
UN1154,85.0,15.0
UN1230,85.0,15.0
UN1069,85.0,15.0
UN1302,85.0,15.0
UN1266,85.0,15.0
UN0771,85.0,15.0
UN0000,85.0,15.0
UN0000,85.0,15.0
UN0000,85.0,15.0
UN0785,85.0,15.0
UN0000,85.0,15.0
UN0000,85.0,15.0
UN0000,85.0,15.0
UN1380,85.0,15.0
UN1152,85.0,15.0
UN1289,85.0,15.0
UN0770,85.0,15.0
UN1322,85.0,15.0
UN1154,85.0,15.0
UN1154,85.0,15.0
UN1154,85.0,15.0
UN1154,85.0,15.0
UN1154,85.0,15.0
UN0493,0.0,0.0
UN0287,85.0,15.0
UN0288,85.0,15.0
UN0289,85.0,15.0
UN0291,85.0,15.0
UN0287,85.0,15.0
UN1293,85.0,15.0
UN0000,85.0,15.0
UN0000,85.0,15.0
UN0716,85.0,15.0
UN0718,85.0,15.0
UN0000,85.0,15.0
UN0000,85.0,15.0
UN0000,85.0,15.0
UN0714,85.0,15.0
UN0673,85.0,15.0
UN0674,85.0,15.0
UN1067,85.0,15.0
UN1067,85.0,15.0
UN1058,85.0,15.0
UN1080,85.0,15.0
UN1288,85.0,15.0
UN0381,85.0,15.0
UN0381,85.0,15.0
UN0938,85.0,15.0
UN0938,85.0,15.0
UN0955,85.0,15.0
UN0956,85.0,15.0
UN0951,85.0,15.0
UN0955,85.0,15.0
UN0951,85.0,15.0
UN1261,85.0,0.0
UN1261,85.0,15.0
UN0000,85.0,0.0
UN0000,85.0,15.0
UN0000,85.0,0.0
UN0000,85.0,15.0
UN0792,85.0,15.0
UN0000,85.0,15.0
UN0000,85.0,15.0
UN0229,85.0,15.0
UN1081,85.0,15.0
UN1300,85.0,15.0
UN0115,85.0,15.0
UN0784,85.0,15.0
UN0282,85.0,15.0
UN1305,85.0,15.0
UN1305,85.0,15.0
UN0283,85.0,15.0
UN1171,85.0,15.0
UN0249,85.0,15.0
UN0000,85.0,15.0
UN0785,85.0,15.0
UN1279,85.0,15.0
UN1132,85.0,15.0
UN0183,85.0,15.0
UN0183,85.0,15.0
UN1280,85.0,15.0
UN1282,85.0,15.0
UN1321,85.0,15.0
UN1322,85.0,15.0
UN1323,85.0,15.0
UN1326,85.0,15.0
UN1324,85.0,15.0
UN0111,85.0,15.0
UN0114,85.0,15.0
UN0284,85.0,15.0
UN1133,85.0,15.0
UN1133,85.0,15.0
UN0354,85.0,15.0
UN0000,85.0,15.0
UN0111,85.0,15.0
UN0111,85.0,15.0
UN0111,85.0,15.0
UN0119,85.0,15.0
UN1132,85.0,15.0
UN1281,85.0,15.0
UN1221,85.0,15.0
UN0349,85.0,15.0
UN1094,85.0,15.0
UN0353,85.0,15.0
UN0348,85.0,15.0
UN0155,85.0,15.0
UN0156,85.0,15.0
UN0157,85.0,15.0
UN0347,85.0,15.0
UN0348,85.0,15.0
UN0349,85.0,15.0
UN0350,85.0,15.0
UN0000,85.0,15.0
UN0000,85.0,15.0
UN1298,85.0,15.0
UN0000,85.0,15.0
UN0000,85.0,15.0
UN0000,85.0,15.0
UN0000,85.0,15.0
UN1094,85.0,15.0
UN0000,85.0,15.0
UN0715,85.0,15.0
UN0000,85.0,15.0
UN0000,85.0,15.0
UN0000,85.0,15.0
UN0407,85.0,15.0
UN1256,85.0,15.0
UN1305,85.0,15.0
UN0739,85.0,15.0
UN1062,85.0,15.0
UN1063,85.0,15.0
UN1168,85.0,15.0
UN1222,85.0,15.0
UN1232,0.0,0.0
UN0732,85.0,15.0
UN0736,85.0,15.0
UN0363,85.0,15.0
UN0248,85.0,15.0
UN0249,85.0,15.0
UN0250,85.0,15.0
UN0492,85.0,15.0
UN1277,85.0,15.0
UN0691,85.0,15.0
UN1186,85.0,15.0
UN0000,85.0,15.0
UN0000,85.0,15.0
UN1221,85.0,15.0
UN0000,85.0,15.0
UN0000,85.0,15.0
UN1188,85.0,15.0
UN1232,85.0,15.0
UN0477,85.0,15.0
UN0477,85.0,15.0
UN0486,85.0,15.0
UN0487,85.0,15.0
UN0992,85.0,15.0
UN0989,85.0,15.0
UN0990,85.0,15.0
UN0991,85.0,15.0
UN0992,85.0,15.0
UN0492,85.0,15.0
UN0103,85.0,15.0
UN0104,85.0,15.0
UN0690,85.0,15.0
UN0000,85.0,15.0
UN0688,85.0,15.0
UN0689,85.0,15.0
UN0492,85.0,15.0
UN1230,85.0,15.0
UN0793,85.0,15.0
