unit_id,unit_percentage_owner,unit_percentage_bv
UN0295,0.0,0.0
UN0268,85.0,15.0
UN1209,0.0,0.0
UN0000,85.0,15.0
UN1180,85.0,15.0
UN1195,85.0,15.0
UN1176,0.0,0.0
UN1303,0.0,0.0
UN1312,85.0,15.0
UN0244,85.0,15.0
UN0410,85.0,15.0
UN0411,85.0,15.0
UN0412,85.0,15.0
UN0766,85.0,15.0
UN1218,85.0,15.0
UN1219,85.0,15.0
UN0695,85.0,15.0
UN0000,85.0,15.0
UN0692,85.0,15.0
UN0696,85.0,15.0
UN1173,85.0,15.0
UN0310,0.0,0.0
UN1179,85.0,15.0
UN0000,85.0,15.0
UN0000,85.0,15.0
UN1181,85.0,15.0
UN0272,0.0,0.0
UN1209,0.0,0.0
UN1213,85.0,15.0
UN1270,85.0,15.0
UN0090,85.0,15.0
UN0793,0.0,0.0
UN0413,85.0,15.0
UN0930,85.0,15.0
UN0436,85.0,15.0
UN0269,85.0,15.0
UN0524,85.0,15.0
UN0504,85.0,15.0
UN1284,85.0,15.0
UN0212,85.0,15.0
UN0411,85.0,15.0
UN0414,85.0,15.0
UN1225,85.0,15.0
UN0416,85.0,15.0
UN0415,85.0,15.0
UN0270,85.0,15.0
UN0269,85.0,15.0
UN0269,85.0,15.0
UN0269,85.0,15.0
UN0939,85.0,15.0
UN0939,85.0,15.0
UN0986,85.0,15.0
UN0988,85.0,15.0
UN1116,85.0,15.0
UN0076,85.0,15.0
UN0085,85.0,15.0
UN0198,0.0,0.0
UN0000,85.0,15.0
UN0000,85.0,15.0
UN0236,85.0,15.0
UN0246,85.0,15.0
UN0247,80.0,20.0
UN0152,85.0,15.0
UN0152,85.0,15.0
UN0152,85.0,15.0
UN0162,85.0,15.0
UN0930,85.0,15.0
UN0236,85.0,15.0
UN0182,85.0,15.0
UN0182,85.0,15.0
UN0183,85.0,15.0
UN0185,85.0,15.0
UN0240,85.0,15.0
UN0000,85.0,15.0
UN0000,85.0,15.0
UN0000,85.0,15.0
UN0192,85.0,15.0
UN0191,85.0,15.0
UN0195,85.0,15.0
UN0194,85.0,15.0
UN0456,100.0,0.0
UN0526,85.0,15.0
UN1207,0.0,0.0
UN0182,85.0,15.0
UN0000,85.0,15.0
UN0000,85.0,15.0
UN0000,85.0,15.0
UN1187,85.0,15.0
UN0382,85.0,15.0
UN0384,85.0,15.0
UN0386,85.0,15.0
UN0421,85.0,15.0
UN0418,85.0,15.0
UN0000,85.0,15.0
UN0592,0.0,0.0
UN0592,0.0,0.0
UN0183,85.0,15.0
UN1227,85.0,15.0
UN0000,85.0,15.0
UN0000,85.0,15.0
UN0000,85.0,15.0
UN1228,85.0,15.0
UN1229,85.0,15.0
UN0473,85.0,15.0
UN1156,0.0,0.0
UN0470,85.0,15.0
UN1284,85.0,15.0
UN0474,85.0,15.0
UN0472,85.0,15.0
UN0798,85.0,15.0
UN0799,85.0,15.0
UN1143,85.0,15.0
UN1174,85.0,15.0
UN1185,82.0,18.0
UN0000,85.0,15.0
UN1285,85.0,15.0
UN1145,85.0,15.0
UN1144,85.0,15.0
UN1277,85.0,0.0
UN0734,80.0,20.0
UN1287,83.0,17.0
UN1172,85.0,15.0
UN1170,85.0,15.0
UN1171,85.0,15.0
UN0000,85.0,15.0
UN0142,80.0,20.0
UN0000,80.0,20.0
UN0153,85.0,15.0
UN0237,85.0,15.0
UN1186,85.0,15.0
UN0468,85.0,15.0
UN0507,85.0,15.0
UN1205,85.0,15.0
UN0471,85.0,15.0
UN0000,85.0,15.0
UN0000,80.0,20.0
UN1184,82.0,18.0
UN0468,85.0,15.0
UN0000,0.0,0.0
UN0473,85.0,15.0
UN0238,85.0,15.0
UN0239,85.0,15.0
UN0240,85.0,15.0
UN0516,85.0,15.0
UN0000,85.0,15.0
UN0475,85.0,15.0
UN0468,85.0,15.0
UN1252,85.0,15.0
UN0732,80.0,20.0
UN0000,80.0,20.0
UN0000,80.0,20.0
UN0740,80.0,20.0
UN0732,80.0,20.0
UN0000,80.0,20.0
UN1104,85.0,15.0
UN1115,85.0,15.0
UN0000,85.0,15.0
UN0154,80.0,20.0
UN0155,85.0,15.0
UN0528,85.0,15.0
UN0166,85.0,15.0
UN0166,85.0,15.0
UN0419,85.0,15.0
UN0421,85.0,15.0
UN0424,85.0,15.0
UN0423,85.0,15.0
UN0445,100.0,0.0
UN0428,80.0,20.0
UN0439,80.0,20.0
UN0453,80.0,20.0
UN0445,80.0,20.0
UN0445,80.0,20.0
UN0324,100.0,0.0
UN0447,80.0,20.0
UN0459,80.0,20.0
UN0444,85.0,15.0
UN0510,80.0,20.0
UN0502,85.0,15.0
UN0510,85.0,15.0
UN0499,85.0,15.0
UN0504,100.0,0.0
UN0519,85.0,15.0
UN1169,85.0,15.0
UN0516,80.0,20.0
UN1173,85.0,15.0
UN1171,85.0,15.0
UN0513,85.0,15.0
UN0523,85.0,15.0
UN0523,85.0,15.0
UN0516,80.0,20.0
UN0523,80.0,20.0
UN0000,85.0,15.0
UN0000,85.0,15.0
UN0534,85.0,15.0
UN0000,85.0,15.0
UN0000,85.0,15.0
UN0000,85.0,15.0
UN0000,85.0,15.0
UN0000,85.0,15.0
UN0000,80.0,20.0
UN0000,100.0,0.0
UN0000,85.0,15.0
UN0000,85.0,15.0
UN0000,85.0,15.0
UN0987,85.0,15.0
UN0987,85.0,15.0
UN0988,85.0,15.0
UN1287,85.0,15.0
UN1287,80.0,20.0
UN0346,0.0,0.0
UN0468,85.0,15.0
UN0472,87.0,13.0
UN0792,75.0,25.0
UN0671,80.0,20.0
UN0672,80.0,20.0
UN0147,80.0,20.0
UN0146,80.0,20.0
UN0000,85.0,15.0
UN0000,85.0,15.0
UN0000,80.0,20.0
UN0000,80.0,20.0
UN1104,85.0,15.0
UN1115,85.0,15.0
UN1115,85.0,15.0
UN1115,85.0,15.0
UN1115,100.0,0.0
UN1115,85.0,15.0
UN1115,85.0,15.0
UN1115,85.0,15.0
UN1116,85.0,15.0
UN0000,85.0,15.0
UN0156,80.0,20.0
UN0157,80.0,20.0
UN0158,80.0,20.0
UN0159,80.0,20.0
UN0160,80.0,20.0
UN0375,100.0,0.0
UN1185,82.0,18.0
UN1185,82.0,18.0
UN1195,85.0,15.0
UN1203,85.0,15.0
UN1203,85.0,15.0
UN1206,85.0,15.0
UN1239,85.0,15.0
UN1277,85.0,15.0
UN1303,85.0,15.0
UN1019,0.0,0.0
UN1116,85.0,15.0
UN0245,85.0,15.0
UN0243,85.0,15.0
UN0239,85.0,15.0
UN0407,85.0,15.0
UN1225,85.0,15.0
UN1172,85.0,15.0
UN1169,85.0,15.0
UN0421,85.0,15.0
UN0507,85.0,15.0
UN0526,0.0,0.0
UN0986,85.0,15.0
UN0269,0.0,0.0
UN0269,0.0,0.0
UN0269,0.0,0.0
UN0347,85.0,15.0
UN0352,85.0,15.0
UN0470,85.0,15.0
UN0639,85.0,15.0
UN1020,85.0,15.0
UN0141,85.0,15.0
UN0142,85.0,15.0
UN0000,85.0,15.0
UN0143,85.0,15.0
UN0408,85.0,15.0
UN0143,85.0,15.0
UN0000,85.0,15.0
UN0000,85.0,15.0
UN0739,85.0,15.0
UN1116,85.0,15.0
UN0000,85.0,15.0
UN0000,85.0,15.0
UN1232,85.0,15.0
UN0000,85.0,15.0
UN0000,85.0,15.0
UN0152,85.0,15.0
UN0152,85.0,15.0
UN0152,85.0,15.0
UN0152,85.0,15.0
UN0152,85.0,15.0
UN0161,85.0,15.0
UN0162,85.0,15.0
UN1195,85.0,0.0
UN1203,85.0,15.0
UN1239,85.0,15.0
UN1239,85.0,15.0
UN1277,85.0,15.0
UN1277,85.0,15.0
UN0000,85.0,15.0
UN0000,85.0,15.0
UN0000,85.0,15.0
UN0166,80.0,20.0
UN0423,85.0,15.0
UN0448,80.0,20.0
UN0453,100.0,0.0
UN0452,100.0,0.0
UN0448,100.0,0.0
UN0441,100.0,0.0
UN0459,80.0,20.0
UN0513,100.0,0.0
UN0504,100.0,0.0
UN0516,80.0,20.0
UN0549,80.0,20.0
UN0000,80.0,20.0
UN0000,80.0,20.0
UN0000,80.0,20.0
UN0000,80.0,20.0
UN0000,100.0,0.0
UN0000,100.0,0.0
UN0789,85.0,25.0
UN1020,85.0,15.0
UN0000,100.0,0.0
UN0000,100.0,0.0
UN1252,80.0,20.0
UN1253,75.0,25.0
UN0000,100.0,0.0
UN0000,80.0,20.0
UN0986,85.0,15.0
UN0988,85.0,15.0
UN0988,85.0,15.0
UN0988,85.0,15.0
UN0990,85.0,15.0
UN1287,80.0,20.0
UN0143,80.0,20.0
UN0145,80.0,20.0
UN0141,80.0,20.0
UN0000,80.0,20.0
UN0143,80.0,20.0
UN0142,80.0,20.0
UN0671,80.0,20.0
UN0672,80.0,20.0
UN0000,80.0,20.0
UN0735,85.0,15.0
UN0153,85.0,15.0
UN0154,85.0,15.0
UN0155,85.0,15.0
UN1115,85.0,15.0
UN0000,85.0,15.0
UN0163,85.0,15.0
UN1174,85.0,15.0
UN1175,85.0,15.0
UN1195,85.0,15.0
UN1203,85.0,15.0
UN1205,85.0,15.0
UN1205,85.0,15.0
UN1206,85.0,15.0
UN1239,85.0,15.0
UN1239,85.0,15.0
UN1275,85.0,15.0
UN1303,85.0,15.0
UN1303,85.0,15.0
