"UN0000",NULL
"UN0001","Omah Cening"
"UN0002","PinkCoco Gili Air - Suite Del Mar"
"UN0003","PinkCoco Gili Air - Limas"
"UN0004","PinkCoco Gili Air - Gladak"
"UN0005","PinkCoco Gili Air - Grande"
"UN0006","PinkCoco Gili Air - Cocoon"
"UN0007","PinkCoco GT - Grand Deluxe Room"
"UN0008","PinkCoco GT - Deluxe Room"
"UN0009","PinkCoco Bali - Penthouse"
"UN0010","PinkCoco Bali - Panoramic"
"UN0011","PinkCoco Bali - Garden"
"UN0012","PinkCoco Bali - Deluxe Room"
"UN0013","PinkCoco Bali - Courtyard"
"UN0014","Villa Lulu"
"UN0015","Griya Langen - 6BR"
"UN0016","Watusaman - Ground Floor 5BR"
"UN0017","Homestay Tembi - Family Room Bugis"
"UN0018","Homestay Tembi - Family Room Suyawijaya"
"UN0019","Homestay Tembi - Family Room Prawiratama"
"UN0020","Homestay Tembi - Family Room Sadewa"
"UN0021","Homestay Tembi - Standard Room Jogokarya"
"UN0022","Homestay Tembi - Standard Room Mangkuyuda"
"UN0023","Homestay Tembi - Standard Room Brahmana"
"UN0024","Wisma Eyang Sosro - 3BR"
"UN0025","Rajaklana - Luxury Stone House"
"UN0026","Double D - 1"
"UN0027","Double D - 2"
"UN0028","Double D - 3"
"UN0029","Double D - 4"
"UN0030","Double D - 4br"
"UN0031","Joglo Agung Standard Room"
"UN0032","Joglo Agung Family Room A"
"UN0033","Coffee Network Villa"
"UN0034","The Miracle Villas"
"UN0035","Villa Shiva - Serenity"
"UN0036","Villa Shiva - Bali"
"UN0037","D'Java Citra Ayu"
"UN0038","D'Java Omah Sambilegi"
"UN0039","GK Gamat Garden-1"
"UN0040","GK Gamat Garden-2"
"UN0041","GK Gamat Garden-3"
"UN0042","GK Gamat Garden-4"
"UN0043","GK Gamat Garden"
"UN0044","Batan Sabo - 1"
"UN0045","Batan Sabo - 2"
"UN0046","Batan Sabo - 3"
"UN0047","Batan Sabo - 4"
"UN0048","Batan Sabo - 5"
"UN0049","Batan Sabo - 6"
"UN0050","Ayu Laba - Room Bawah #1"
"UN0051","Ayu Laba - Room Bawah Twin #2"
"UN0052","Ayu Laba - Room Bawah #3"
"UN0053","Ayu Laba - Room Bawah #4"
"UN0054","Ayu Laba - Room Bawah twin #5"
"UN0055","Ayu Laba - Room Bawah #6"
